script,style,weight,family,subfamily,variant,format,file,source,source_folders,duplicate_count,sha256
01-Persian-Arabic,06-General,03-Regular,Mj_Cordoba,Regular,02-Static,01-TrueType,01-Persian-Arabic\06-General\03-Regular\Mj_Cordoba\02-Static\01-TrueType\Cordoba.TTF,Farsi\Cordoba.TTF,500.Font.Collection | Farsi,1,f5feee56221c042fc955f65d0948c5888d9798e3f3f40927826c2b03c5f111de
04-Latin,06-General,03-Regular,Annabel 1,Regular,02-Static,01-TrueType,04-Latin\06-General\03-Regular\Annabel 1\02-Static\01-TrueType\Annabel..ttf,Fonts\Annabel\Annabel..ttf,Fonts,0,f5ff9af0eb4aa7cc121f1632d3b6000447b1b136b45484a5f92b8ef61fbbb363
03-Mixed,06-General,09-Other,Kahroba-EHC,B-EHC,02-Static,04-WOFF2,03-Mixed\06-General\09-Other\Kahroba-EHC\02-Static\04-WOFF2\Kahroba B-EHC.woff2,Iranfont\Kahroba-Pro\180-Kahroba-v1.0-Pro\180-Kahroba-v1.0-Pro\Statics\woff2(web)\Kahroba B-EHC.woff2,Iranfont,0,f6019b46de84e9eb87a1b409ef5c96cecd2ee63aaced857a73a8c045afdfc107
04-Latin,06-General,06-Bold,Elementa SC,Bold,02-Static,02-OpenType,04-Latin\06-General\06-Bold\Elementa SC\02-Static\02-OpenType\ElementaSC-Bold.otf,English\ElementaSC-Bold.otf,English,0,f607aee6410c56771100ece62c9be9cdb499cb863413360e5ed8356c30c2f534
03-Mixed,06-General,06-Bold,Fanavari,Bold,02-Static,01-TrueType,03-Mixed\06-General\06-Bold\Fanavari\02-Static\01-TrueType\Fanavari-Bold.ttf,Fonts\Fanavari\Fanavari-Bold.ttf,Fonts,0,f6192ddef8fa995cba045b1da82e6c86056a192c53fbcf7b59cb1d7f54057904
03-Mixed,06-General,08-Black-Italic,Anjoman,Condensed Super Heavy Italic,02-Static,01-TrueType,03-Mixed\06-General\08-Black-Italic\Anjoman\02-Static\01-TrueType\Anjoman-CondensedSuperHeavyItalic.ttf,Fonts\Anjoman_Pro\01 - Anjoman Font Family\04- Condensed Italic\Anjoman-CondensedSuperHeavyItalic.ttf,+Unsorted | Fonts | Iranfont,2,f62176770a62302948d3bb661690a94350ac8cfa257632843073bc433b71e338
03-Mixed,06-General,08-Black,IRANYekanWeb,Black,02-Static,01-TrueType,03-Mixed\06-General\08-Black\IRANYekanWeb\02-Static\01-TrueType\iranyekanwebblack [v2].ttf,Iranfont\IRAN yekan\WebFonts\fonts\ttf\iranyekanwebblack.ttf,Fonts | Iranfont,1,f62509ff74a7920159b4c2a296196528468a5bd3ff83eb4b7f24a92201386de3
03-Mixed,06-General,08-Black,Badee,Black,02-Static,01-TrueType,03-Mixed\06-General\08-Black\Badee\02-Static\01-TrueType\Badee-Black(1).ttf,Fonts\Badee\Source 3 v3.0\Alternative\Badee-Black(1).ttf,Fonts,0,f62537757cd4555753cfe13b8c1f2e7eb67a0e43f992febff522f65f9111f116
03-Mixed,06-General,01-Thin,IRANYekanWeb,Thin,02-Static,04-WOFF2,03-Mixed\06-General\01-Thin\IRANYekanWeb\02-Static\04-WOFF2\IRANYekanWebThin.woff2,Fonts\IRAN Yekan Pro\Source 2 v3.0 Newer\WebFonts\fonts\woff2\IRANYekanWebThin.woff2,+Unsorted | Fonts,1,f625bce4de6f0c93b26b83327659ce8bbe1414f8ec622402720acd0f633ca501
03-Mixed,06-General,08-Black,IRANYekanWeb,Black,02-Static,03-WOFF,03-Mixed\06-General\08-Black\IRANYekanWeb\02-Static\03-WOFF\iranyekanwebblack [v2].woff,Iranfont\IRAN yekan\WebFonts\fonts\woff\iranyekanwebblack.woff,Fonts | Iranfont,1,f6271a28f0ae7144786fa12b4442abda5fc00440f1502652c45920e38f7b3ffe
