family,file,source,sha256,duplicate_count
A Massir Spray,A Massir Spray\مسیراسپری (@FONTBARTAR).ttf,+Mixed Fonts\هشت فونت دست نویس_\هشت فونت دست نویس (@FONTBARTAR)‎\مسیراسپری (@FONTBARTAR).ttf,f8fd067dc45261ff6f93266e8140f53f5c13b5dcdb25e2154f36f10911dba2ef,1
Quiska,Quiska\Quiska.ttf,+Mixed Fonts\Quiska.ttf,f8feeef80d5ea3a5884a2d692777e798ad3ebecefcf919c1739d80b2798e87a7,0
woff2,woff2\Ahang-ThinSharp.woff2,Fonts\Ahang Pro\webfonts\Ahang_Sharp\fonts\woff2\Ahang-ThinSharp.woff2,f93b88dd267444660c5b67c5bcb2e436385e8e58276763ba0f79b5085b2b8143,0
IRANSansXNoEn,IRANSansXNoEn\IRANSansXNoEn-BlackD4.ttf,_downloads\IranSansX Pro\IranSansX Pro\Dot4\NonEnglish\IRANSansXNoEn-BlackD4.ttf,f93e103bf513edaae4ed126be38d0368b234d5e854d03612ecff4d4a4a056fbc,0
eot,eot\IRANYekanWebBlack [v2].eot,Fonts\IRAN Yekan Pro\Source 2 v3.0 Newer\WebFonts\fonts\eot\IRANYekanWebBlack.eot,f946c485976f492138949781c9c3e694e30506e324d333dcccbe21fd1f8a0386,1
IPT Ferdosi,IPT Ferdosi\IFerdosi.ttf,500.Font.Collection\IFerdosi.ttf,f94b95846666886ee569100939ef9623224758fb877f15a4fe95cf531e33433f,0
Yekan Bakh,Yekan Bakh\YekanBakh-Regular [v3].ttf,_downloads\YekanBakh 2 Pro\YekanBakh 2 Pro\Yekan Bakh Family\TTF\YekanBakh-Regular.ttf,f9513253f389c39ecff8ec19c73837441e3f708efb2a83e0c4523cb3dfac5767,0
Reckless Standard M-TRIAL,Reckless Standard M-TRIAL\RecklessStandardM-TRIAL-BoldItalic.otf,_downloads\reckless-font-family\RecklessStandardM-TRIAL-BoldItalic.otf,f954809a70521ace242e583d142bdfcd52eb9d9ccfe71f4ef9c5682c472da002,0
01- Woff,01- Woff\Anjoman-NoEn-MediumItalic.woff,Fonts\Anjoman_Pro\03 - Anjoman Non English\01- Woff\Anjoman-NoEn-MediumItalic.woff,f95d9d42f0efc6ecde125adce66a6345cfd8eea33600ff47223a7d8f7baa4ade,1
DimaBanoo,DimaBanoo\DimaBanoo.ttf,Fonts\Dima\DimaBanoo.ttf,f96105306aedf8a0e088826e71c540bbcdbfa1cfc35df2d8075dd6e0673a1442,5
02- Woff2,02- Woff2\Anjoman-FaNum-Bold.woff2,Fonts\Anjoman_Pro\02 - Anjoman Farsi Numerals\02- Woff2\Anjoman-FaNum-Bold.woff2,f965d8268cf0c0a9c52a1ca1656892eaa1be3089f59db7da65c9ceb6da7a86d8,1
web,web\onvan.woff2,+Unsorted\VIP FONT-@Apkclub\VIP FONT\VIP FONT\عنوان\web\onvan.woff2,f966b27510d06cada008ec0d3e25c902d856f0d7f0b08b56de8af38c2f9e6b5c,0
NPIHila,NPIHila\NPIHila.ttf,500.Font.Collection\NPIHila.ttf,f975a18d57d94ab3b8c85efdc91324e7447674d20a04d64e8b83393e35aca276,0
atabay,atabay\Atabay [@fontbazi].otf,+Unsorted\Atabay [@fontbazi]\Atabay [@fontbazi].otf,f9912480671d827f22185c742c8490810e37b5c7708f69bcd49ed8bb2d92e0c8,1
dana-noen,dana-noen\dana-noen-extralight.woff2,_downloads\dana-noen\dana-noen-extralight.woff2,f991bd3dd3769a6f3f64cd75474fb5dba4e09ab3a05b6cd2087d80e2c5446075,2
eot,eot\yekan bakh en 05 medium.eot,Fonts\Yekan Bakh\Source 3 v1.0\eot\yekan bakh en 05 medium.eot,f9a0fa0271e47019e0aa046b67900d6c0f0808a1f1a332cb923a77df2419d2f1,1
B Kamran,B Kamran\BKamran [v2].ttf,500.Font.Collection\BKamran.ttf,f9ad7c17c2fde838757a49aff8babf1fef8639c0dd80caaa2f87a9fd476eee75,0
woff2,woff2\Ahang-DemiBold.woff2,Fonts\Ahang Pro\webfonts\Ahang\fonts\woff2\Ahang-DemiBold.woff2,f9c982b004481c96df8cb47f1d7bb07b38da669a66bc03868f2fac965cd7df36,0
Anjoman,Anjoman\Anjoman-ThinItalic.ttf,Fonts\Anjoman_Pro\01 - Anjoman Font Family\02- Italic\Anjoman-ThinItalic.ttf,f9d27a6d77fa0309d5b40a8bb8ce5a97e9f2e2b4f36229bf750e4f70bae13081,1
Dima Classic Bold,Dima Classic Bold\DimaClassic Bold.ttf,+Unsorted\VIP FONT-@Apkclub\All font\DimaClassic Bold.ttf,f9df3ddc6373198d1d764404dfc40fec328a3969ab8bba0ed5ab21bd269e22df,7
woff2,woff2\YekanBakh-ExtraBlack [v2].woff2,_downloads\YekanBakh 2 Pro\YekanBakh 2 Pro\Yekan Bakh Family\Webfonts\fonts\woff2\YekanBakh-ExtraBlack.woff2,f9e90d4e990638fe75c6df0997e198a1f06192bedc5a67719b68a39ed899baae,0
Yekan Bakh NoEn,Yekan Bakh NoEn\YekanBakhNoEn-SemiBold.otf,_downloads\YekanBakh 2 Pro\YekanBakh 2 Pro\Yekan Bakh NoEn\OTF\YekanBakhNoEn-SemiBold.otf,f9f67a9998b53f5b3870728a1ff980e9684ef54462af2cb54e4169cc5178512b,0
Bustani,Bustani\بستانی.otf,+Mixed Fonts\بستانی.otf,f9fdad07da23760079bd3eda6aad1e1f5ec38318cff43ce32d1feb3b959678f3,0
B Fantezy,B Fantezy\BFantezy [v2].ttf,384.Font.Farsi\BFantezy.ttf,fa0793e8aefc7f96672fa0f4951e42734b3e16433a88e87f03a22846489c14d5,0
DimaNokhbeh,DimaNokhbeh\DimaNokhbeh.otf,+Unsorted\VIP FONT-@Apkclub\Categuries\Dima\DimaNokhbeh\fonts\DimaNokhbeh.otf,fa09eea24b060decd5f285d890554eef9c3547686b95ecb174a575a4855b3ed1,0
dana,dana\dana-blackitalic.woff,_downloads\dana\dana-blackitalic.woff,fa0dd4a0bd6369467c5406c0824015dd9e4685987a04a1884728a1f1f17c76e1,2
